DB Accession Number,ATC Codes,DB SMILES,Neutralized SMILES
CHEMBL63323,M01AX; M02AA,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
CHEMBL416755,J01MB,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
CHEMBL92401,N06AF,CC(C)NNC(=O)c1ccncc1,CC(C)NNC(=O)c1ccncc1
CHEMBL1565476,M01AX,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O
CHEMBL36994,N06BX,COc1ccc(C(=O)N2CCCC2=O)cc1,COc1ccc(C(=O)N2CCCC2=O)cc1
CHEMBL156791,C07AA,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl
CHEMBL448570,A10BB,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1
CHEMBL268164,N05CA,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
CHEMBL468837,N05CA,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
CHEMBL2107430,D01AC; G01AF,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1
